# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	44500
#@/user_id	win_home_mypc
ewg 	脸	c=2 d=0.0175097 t=44500
ewgi 	脸	c=3 d=0.0846338 t=44500
ey 	及	c=3 d=0.685042 t=44500
eyb 	脑	c=1 d=0.130029 t=44500
eybb 	脑子	c=1 d=0.247833 t=44500
eyf 	脏	c=4 d=0.887315 t=44500
f 	地	c=102 d=27.1974 t=44500
fa 	载	c=1 d=0.045275 t=44500
faf 	霸	c=1 d=0.00027603 t=44500
fahh 	截止	c=1 d=0.0420036 t=44500
fakg 	域	c=1 d=0.000242381 t=44500
falt 	截图	c=8 d=0.162651 t=44500
falw 	戴	c=2 d=0.0430669 t=44500
faqk 	域名	c=4 d=1.04026 t=44500
faty 	载入	c=1 d=4.62289e-12 t=44500
faue 	裁剪	c=1 d=0.822835 t=44500
faw 	截	c=1 d=3.05476e-20 t=44500
fbfh 	地址	c=2 d=0.484325 t=44500
fbqr 	地铁	c=1 d=0.143925 t=44500
fc 	支	c=1 d=0.571209 t=44500
fcb 	却	c=5 d=0.537944 t=44500
fcdy 	动态	c=12 d=5.88556 t=44500
fcfc 	运动	c=3 d=2.23649 t=44500
fcft 	云雾	c=1 d=0.257947 t=44500
fcgl 	动画	c=4 d=1.48246 t=44500
fcl 	动	c=14 d=1.52254 t=44500
fclk 	支架	c=3 d=0.402651 t=44500
fcp 	运	c=2 d=0.763379 t=44500
fcrf 	支持	c=31 d=3.87509 t=44500
fctf 	运行	c=13 d=2.34237 t=44500
fcu 	云	c=19 d=6.86439 t=44500
fcu 	去	c=129 d=4.56834 t=44500
fcwf 	支付	c=1 d=0.113608 t=44500
fcwt 	动作	c=3 d=0.0704705 t=44500
fd 	城	c=31 d=1.61171 t=44500
fdfi 	需求	c=34 d=1.86087 t=44500
fdjf 	城里	c=1 d=8.47434e-24 t=44500
fdsa 	魂牵梦萦	c=3 d=0.941765 t=44500
fdsv 	需要	c=96 d=2.25881 t=44500
fe 	圾	c=2 d=0.966578 t=44500
ff 	寺	c=2 d=0.752014 t=44500
ffdm 	封面	c=1 d=0.585669 t=44500
ffff 	土	c=1 d=3.31031e-24 t=44500
ffgk 	土豆	c=1 d=0.375311 t=44500
ffhw 	填	c=19 d=0.477114 t=44500
ffiw 	款	c=1 d=0.683861 t=44500
ffqg 	封印	c=1 d=0.394554 t=44500
fftj 	堵	c=1 d=1.06383e-22 t=44500
ffuf 	封装	c=6 d=1.06177 t=44500
ffuk 	墙	c=4 d=0.468152 t=44500
ffxx 	未雨绸缪	c=1 d=0.00726273 t=44500
ffyp 	土豪	c=1 d=0.0254765 t=44500
fg 	二	c=13 d=1.73602 t=44500
fge 	博	c=2 d=0.810917 t=44500
fggh 	干	c=7 d=0.869889 t=44500
fgh 	十	c=2 d=0.731231 t=44500
fghy 	雨	c=1 d=0.839457 t=44500
fgkw 	干啥	c=9 d=0.2616 t=44500
fgky 	干咳	c=1 d=0.00585769 t=44500
fgo 	垭	c=1 d=0.292293 t=44500
fgpt 	博客	c=4 d=3.63328 t=44500
fguq 	干净	c=1 d=0.913931 t=44500
fh 	直	c=28 d=1.17298 t=44500
fha 	越	c=3 d=0.269352 t=44500
fhbc 	趣	c=2 d=0.0156897 t=44500
fhcm 	直观	c=1 d=0.733447 t=44500
fhdc 	起码	c=1 d=0.189191 t=44500
fhgc 	直到	c=2 d=3.89371e-05 t=44500
fhgh 	真正	c=2 d=0.0982736 t=44500
fhgo 	起来	c=28 d=1.52273 t=44500
fhhk 	起点	c=1 d=0.189725 t=44500
fhjc 	赶紧	c=1 d=0.0325493 t=44500
fhkh 	走路	c=1 d=0.900325 t=44500
fhlf 	雪上加霜	c=1 d=0.408608 t=44500
fhn 	起	c=38 d=2.00515 t=44500
fhny 	真心	c=1 d=0.159614 t=44500
fhoo 	起火	c=1 d=0.358796 t=44500
fhpu 	真实	c=2 d=0.0271874 t=44500
fhq 	赵	c=9 d=2.0391 t=44500
fhqv 	趋	c=1 d=0.0930145 t=44500
fhrt 	直播	c=1 d=1.37283e-22 t=44500
fhru 	直接	c=27 d=1.4271 t=44500
fhu 	走	c=20 d=1.33046 t=44500
fhvk 	超	c=23 d=2.04344 t=44500
fhw 	真	c=33 d=1.42492 t=44500
fhwd 	起伏	c=2 d=0.472188 t=44500
fhxg 	直线	c=11 d=0.924408 t=44500
fhym 	超市	c=1 d=0.637628 t=44500
fi 	示	c=1 d=0.0127147 t=44500
fii 	未	c=30 d=3.67376 t=44500
fiy 	求	c=2 d=0.425283 t=44500
fj 	进	c=3 d=0.310367 t=44500
fjat 	进攻	c=1 d=2.54938e-10 t=44500
fjbj 	朝阳	c=2 d=1.02535 t=44500
fjdk 	朝右	c=1 d=2.14265e-24 t=44500
fje 	朝	c=6 d=0.327915 t=44500
fjf 	埋	c=1 d=2.94108e-15 t=44500
fjgo 	进来	c=1 d=0.99005 t=44500
fjp 	进	c=40 d=2.62275 t=44500
fjt 	乾	c=1 d=0.000678925 t=44500
fjtf 	进行	c=12 d=0.985339 t=44500
fjtk 	进程	c=2 d=0.683861 t=44500
fjtm 	朝向	c=15 d=1.26892 t=44500
fjty 	进入	c=7 d=1.11403 t=44500
fjya 	进度	c=4 d=1.29349 t=44500
fjyi 	进京	c=2 d=0.302704 t=44500
fkcq 	喜欢	c=1 d=0.156453 t=44500
fkhk 	露	c=1 d=0.00226541 t=44500
fkm 	埚	c=1 d=0.104874 t=44500
fl 	协	c=4 d=1.76544 t=44500
flf 	雷	c=1 d=0.527292 t=44500
fltk 	协和	c=1 d=0.737123 t=44500
fltk 	协程	c=2 d=1.01265 t=44500
flwt 	协作	c=1 d=5.55366e-23 t=44500
flyy 	协议	c=3 d=0.997296 t=44500
fmip 	击掌	c=1 d=0.45612 t=44500
fmk 	击	c=59 d=3.10103 t=44500
fmva 	击毁	c=3 d=1.71105 t=44500
fnet 	专用	c=1 d=0.38868 t=44500
fniy 	专注	c=1 d=0.0222592 t=44500
fnjy 	场景	c=17 d=1.5987 t=44500
fnog 	专业	c=2 d=0.161337 t=44500
fnr 	声	c=6 d=2.15274 t=44500
fnrt 	场	c=1 d=0.224249 t=44500
fnud 	卖	c=5 d=1.60422 t=44500
fnuj 	声音	c=7 d=0.5909 t=44500
fnuy 	专门	c=5 d=0.746535 t=44500
fnv 	亏	c=9 d=0.951229 t=44500
fnw 	块	c=33 d=2.04989 t=44500
fnxq 	违约	c=1 d=0.763379 t=44500
