# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	56292
#@/user_id	win_work_gyyx
fcft 	云雾	c=1 d=0.257947 t=56292
fcgl 	动画	c=5 d=1.48246 t=56292
fcl 	动	c=37 d=1.52254 t=56292
fclk 	支架	c=3 d=0.402651 t=56292
fcp 	运	c=2 d=0.763379 t=56292
fcrf 	支持	c=39 d=3.87509 t=56292
fctf 	运行	c=15 d=2.34237 t=56292
fcth 	运算	c=1 d=1.41709e-13 t=56292
fcu 	云	c=19 d=6.86439 t=56292
fcu 	去	c=157 d=4.56834 t=56292
fcwf 	支付	c=1 d=0.113608 t=56292
fcwt 	动作	c=3 d=0.0704705 t=56292
fcxj 	运费	c=1 d=4.9384e-24 t=56292
fd 	城	c=41 d=1.61171 t=56292
fdfi 	需求	c=49 d=1.86087 t=56292
fdjf 	城里	c=1 d=8.47434e-24 t=56292
fdsa 	魂牵梦萦	c=4 d=0.941765 t=56292
fdsv 	需要	c=125 d=2.25881 t=56292
fe 	圾	c=2 d=0.966578 t=56292
ff 	寺	c=2 d=0.752014 t=56292
ffdm 	封面	c=1 d=0.585669 t=56292
ffff 	土	c=1 d=3.31031e-24 t=56292
